/System/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/changsheng/PycharmProjects/IdiomUsage/FindingOptimalTopic.py
5 -865.45331758
6 -854.08397905
7 -884.468986752
8 -890.118590776
9 -904.469081888
10 -879.963966111
11 -890.339153165
12 -909.642927716
13 -882.97165399
14 -922.518864771
15 -902.733307616
16 -909.99491068
17 -913.104534265
18 -934.417194018
19 -898.464123897
2 -648.456736896
3 -628.452533066
4 -638.207737403
5 -642.795331502
6 -642.544833381
7 -660.993459626
8 -662.182037885
9 -677.272620018
10 -684.722458389
11 -674.247259775
12 -676.330477001
13 -705.310783268
14 -692.494877959
15 -699.327638801
16 -696.225201098
17 -712.22326771
18 -705.049216149
19 -703.126855212
20 -719.841534178
21 -707.823778929
22 -727.458959331
23 -723.103265471
24 -716.929098276
('get_wind', 6, -854.0839790496178, 3, 3)
2 -825.78466671
3 -839.890513142
4 -835.65517709
5 -815.680048668
6 -817.927714233
7 -846.213567612
8 -847.31833362
9 -842.127857018
10 -861.822604924
11 -826.094959706
12 -844.38909758
13 -859.350151507
14 -863.567390444
15 -861.309241756
16 -856.560336896
17 -861.535946824
18 -881.53937192
19 -895.211319219
2 -1570.176773
3 -1547.4441849
4 -1551.39832134
5 -1542.23905479
6 -1539.36684561
7 -1526.27551498
8 -1535.0514962
9 -1577.94681818
10 -1560.56414414
11 -1575.58346211
12 -1596.88984728
13 -1601.84038223
14 -1626.66554921
15 -1627.41944114
16 -1627.51327358
17 -1630.50737592
18 -1671.71100393
19 -1661.89713722
20 -1664.81060165
21 -1668.93386286
22 -1689.65723163
23 -1679.22849437
24 -1688.73140677
('pull_leg', 5, -815.6800486681964, 7, 7)

Process finished with exit code 0

