/System/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/changsheng/PycharmProjects/IdiomUsage/FindingOptimalTopic.py
14 -32777.3773828
15 -32869.7496208
16 -32836.7807003
17 -32964.0959406
18 -32958.2669811
19 -33051.7688321
20 -33062.4154762
21 -33240.1684315
22 -33128.9048908
23 -33137.873965
24 -33163.763928
25 -33433.4782405
26 -33411.990246
27 -33297.5023109
28 -33487.8835904
29 -33368.6285335
30 -33563.5206623
31 -33722.6235028
32 -33661.0739369
33 -33771.3631124
34 -33833.480713
35 -33892.3494031
36 -33987.5718621
37 -34068.0578833
38 -34028.2771103
39 -34098.3836047
40 -34365.2077416
41 -34337.2213452
42 -34220.2285718
43 -34470.971553
44 -34507.7650672
45 -34556.0987293
46 -34655.1260874
47 -34808.6849397
48 -34756.905088
49 -34644.3202183
2 -27541.2620024
3 -27176.2157724
4 -26938.1662161
5 -26682.5731545
6 -26593.0821524
7 -26413.4333094
8 -26520.1260498
9 -26278.8840449
10 -26193.2454114
11 -26335.247659
12 -26468.2098491
13 -26451.5093329
14 -26399.2271687
15 -26303.1407569
16 -26319.9779961
17 -26369.7708991
18 -26479.3386406
19 -26341.6638205
20 -26443.7121248
21 -26410.5796164
22 -26573.5938097
23 -26670.1198455
24 -26727.7415734
25 -26565.1329217
26 -26738.3541361
27 -26624.0637769
28 -26816.2316599
29 -26874.2030296
30 -26924.4182914
31 -26989.1357371
32 -26993.5470053
33 -27033.3579004
34 -27084.0677844
35 -27230.5883575
36 -27143.0488298
37 -27277.5387001
38 -27260.2256832
39 -27207.4609965
40 -27329.2529405
41 -27357.2143752
42 -27672.1680944
43 -27525.7509698
44 -27615.274134
45 -27696.179621
46 -27431.1561562
47 -27941.1680903
48 -27764.9712841
49 -27727.0631736
('in the bag', 14, -32777.37738277938, 10, 10)
2 -19643.0989224
3 -19340.8423111
4 -19086.0361586
5 -19028.3590812
6 -18948.9945544
7 -19064.4018654
8 -18868.0020554
9 -18890.2503521
10 -18797.429285
11 -18802.6983719
12 -18907.4700385
13 -18785.4791094
14 -18747.9702231
15 -18890.0821986
16 -18834.6518599
17 -18989.4568085
18 -18974.5755762
19 -19117.4362597
20 -18968.556034
21 -19006.7694304
22 -19047.7973894
23 -19075.568621
24 -19083.4846225
25 -18970.0190896
26 -19042.024131
27 -19178.7949527
28 -19152.7010629
29 -19191.3087238
30 -19213.4184868
31 -19480.1433646
32 -19374.5035002
33 -19433.7042516
34 -19406.0252155
35 -19398.6390587
36 -19503.924743
37 -19512.7886849
38 -19482.1749289
39 -19617.9682082
40 -19581.4753002
41 -19713.5539361
42 -19704.9388122
43 -19775.8779892
44 -19986.2398582
45 -19853.4183119
46 -19927.3421114
47 -19966.5723423
48 -19950.9646226
49 -20007.1637875
2 -6097.88609668
3 -5986.63467348
4 -6013.10511456
5 -5946.82301535
6 -5907.44192299
7 -5910.33464871
8 -5946.78054402
9 -5972.64142229
10 -5949.97284752
11 -5939.32031554
12 -5942.20920295
13 -5900.69270072
14 -5958.64665479
15 -5987.69593774
16 -6087.69691114
17 -6014.92543665
18 -6119.5993345
19 -6060.27677081
20 -6044.36267374
21 -5990.73474295
22 -6156.92939753
23 -6170.85084372
24 -6127.918611
25 -6143.95178945
26 -6170.48122515
27 -6127.88125024
28 -6190.7952315
29 -6139.0869943
30 -6163.45058456
31 -6238.31364398
32 -6267.45416301
33 -6250.82551884
34 -6291.62789192
35 -6347.66451581
36 -6372.88035899
37 -6294.66622602
38 -6370.87002991
39 -6394.85502645
40 -6402.60564054
41 -6347.48102728
42 -6416.68727007
43 -6477.20018137
44 -6384.93556479
45 -6482.29880638
46 -6412.90796536
47 -6527.62904544
48 -6541.39106946
49 -6464.20586461
('in the fast lane', 14, -18747.97022313478, 13, 13)
2 -33750.5422903
3 -33416.8700773
4 -33104.3341555
5 -32784.7433571
6 -32654.2357324
7 -32649.31547
8 -32536.868537
9 -32485.5230484
10 -32487.675318
11 -32459.1645822
12 -32517.3699381
13 -32285.3279549
14 -32545.627583
15 -32452.9814903
16 -32636.4512859
17 -32487.2663965
18 -32463.9280995
19 -32614.3736343
20 -32770.6325981
21 -32772.5700941
22 -32646.8555345
23 -32760.3203063
24 -32826.5337805
25 -32884.233306
26 -33016.7160683
27 -32963.7895442
28 -32971.3373065
29 -33377.6974315
30 -33517.5200253
31 -33573.9488898
32 -33344.6468083
33 -33753.083164
34 -33610.790565
35 -33569.3427235
36 -33625.3659808
37 -33584.2953954
38 -33784.7045733
39 -33934.5013847
40 -34009.6796037
41 -33976.0930748
42 -33996.9136377
43 -34253.5539406
44 -34083.3522062
45 -33900.8581829
46 -34347.7231718
47 -34439.0451993
48 -34387.7582483
49 -34547.5471414
2 -29768.2820941
3 -29484.2783713
4 -29262.6434586
5 -29074.7247826
6 -29002.195741
7 -28763.7687347
8 -28846.3747348
9 -28695.7678975
10 -28587.0390713
11 -28772.5653769
12 -28593.0649805
13 -28507.0430752
14 -28741.5266332
15 -28636.2857502
16 -28677.7190772
17 -28808.8177356
18 -28694.1359671
19 -28826.772788
20 -28781.2803772
21 -28864.121767
22 -28904.6800361
23 -28895.8610045
24 -28968.5734334
25 -29086.0540514
26 -29111.4877317
27 -29148.9124398
28 -29199.6597144
29 -29116.668203
30 -29213.5035588
31 -29357.9858929
32 -29447.1468122
33 -29364.0155805
34 -29603.5004485
35 -29610.9087025
36 -29599.6068649
37 -29614.6052612
38 -29961.7528867
39 -29975.1028808
40 -29798.8776104
41 -29837.9841724
42 -29993.4450696
43 -29971.661984
44 -30317.8357666
45 -30212.0555381
46 -30286.9582358
47 -30487.0747716
48 -30263.8825104
49 -30409.7540381
('play ball', 13, -32285.327954901833, 13, 13)
error code
'utf8' codec can't decode byte 0xc3 in position 20: unexpected end of data
2 -16634.445078
3 -16317.5589842
4 -16224.041941
5 -16147.3352066
6 -15899.9827257
7 -15826.0083077
8 -15830.9487684
9 -15897.6374556
10 -15846.8245601
11 -15940.3242127
12 -15835.7659764
13 -15766.062196
14 -15817.7425853
15 -15923.2579568
16 -15942.5971683
17 -15860.2486713
18 -15954.5093406
19 -16034.3329049
20 -16008.54581
21 -16054.1143745
22 -15965.0318382
23 -16119.3250567
24 -15991.2989477
25 -16047.6711706
26 -16206.1128517
27 -16116.1233866
28 -16294.4891399
29 -16263.4023456
30 -16236.794808
31 -16307.3547992
32 -16394.6567288
33 -16412.5268258
34 -16404.9719278
35 -16411.0994567
36 -16472.0074071
37 -16544.6684838
38 -16543.8644552
39 -16638.86329
40 -16634.4765374
41 -16700.6735043
42 -16737.1376569
43 -16652.4821572
44 -16721.0339418
45 -16693.0147054
46 -16866.3068581
47 -16913.5114308
48 -16986.000628
49 -16998.9130631
2 -4371.75092561
3 -4295.92534801
4 -4217.7275051
5 -4178.70168685
6 -4134.68343986
7 -4193.88756067
8 -4122.02248277
9 -4154.46221321
10 -4101.49419814
11 -4128.54407774
12 -4095.38625371
13 -4094.50378956
14 -4222.10110249
15 -4166.06865283
16 -4110.7888771
17 -4152.52715314
18 -4213.44619458
19 -4243.67779125
20 -4190.59841558
21 -4173.72364144
22 -4240.16023032
23 -4283.41563941
24 -4301.07621237
25 -4293.4178494
26 -4303.75945262
27 -4325.90976622
28 -4331.93033272
29 -4305.75652648
30 -4395.74473447
31 -4338.98522992
32 -4414.94303842
33 -4387.81739865
34 -4462.65529151
35 -4420.81107178
36 -4429.63393856
37 -4482.53113216
38 -4397.4399805
39 -4482.45076367
40 -4493.95757193
41 -4489.60328537
42 -4459.98543105
43 -4521.42516794
44 -4532.97597245
45 -4561.94926999
46 -4560.07417713
47 -4586.66145884
48 -4633.24279051
49 -4545.12164581
('rub it in', 13, -15766.062196045876, 13, 13)
2 -38872.837566
3 -38336.4658326
4 -38040.4633234
5 -37755.4738088
6 -37667.2388022
7 -37491.9956219
8 -37377.0581713
9 -37209.2258745
10 -37111.6308851
11 -37078.8578769
12 -37240.7115525
13 -37102.9052016
14 -36920.0024455
15 -36956.6596312
16 -37158.3042055
17 -37045.3804189
18 -37148.127345
19 -37124.7879304
20 -37179.4529824
21 -37370.5529375
22 -37197.6445715
23 -37216.1464824
24 -37447.0511731
25 -37511.8992579
26 -37483.9468088
27 -37439.5459277
28 -37537.7183064
29 -37498.6098644
30 -37770.2771664
31 -37635.802064
32 -37824.386223
33 -37695.5250445
34 -37863.6480073
35 -38058.7661552
36 -38040.1309772
37 -38177.6657998
38 -38374.5107909
39 -38173.4607741
40 -38321.480112
41 -38209.6562497
42 -38564.6991712
43 -38569.3499191
44 -38760.9813697
45 -38276.9184854
46 -38840.6618748
47 -38901.418401
48 -38946.8524346
49 -38881.3706559
2 -31874.8758656
3 -31408.7672245
4 -31174.4454208
5 -30873.105084
6 -30640.0073984
7 -30559.3354824
8 -30498.9101635
9 -30403.1892459
10 -30235.3584651
11 -30343.6175982
12 -30348.7911473
13 -30324.6400889
14 -30279.536514
15 -30318.2724243
16 -30397.8002234
17 -30420.9229858
18 -30510.7703071
19 -30532.1050792
20 -30395.9277237
21 -30512.8116124
22 -30489.5580569
23 -30599.1332399
24 -30988.0913648
25 -30795.7812876
26 -30835.9372685
27 -30771.0867849
28 -30953.1689288
29 -31138.0452482
30 -31053.7821499
31 -31210.22996
32 -31057.7534506
33 -31364.8144303
34 -31516.395744
35 -31251.537361
36 -31161.6492055
37 -31526.5191454
38 -31501.2015852
39 -31674.978471
40 -31607.149325
41 -31647.1431144
42 -31723.1643488
43 -31763.4903816
44 -31903.4200168
45 -32056.7341917
46 -32104.0690688
47 -31938.6084084
48 -32158.2403047
49 -32113.258483
('through the roof', 14, -36920.0024454675, 10, 10)
2 -25220.5378544
3 -24790.9220394
4 -24644.6634107
5 -24293.2914181
6 -24153.7342484
7 -24150.8112231
8 -23925.668333
9 -24056.195849
10 -23968.3169078
11 -23999.3476625
12 -23932.6258024
13 -24023.7527104
14 -23861.4092054
15 -23860.5241522
16 -23876.8348078
17 -23912.3431862
18 -23784.2441728
19 -24016.1994496
20 -23980.6064571
21 -24053.2575202
22 -24091.9172835
23 -24008.428512
24 -24106.2553238
25 -24116.6250165
26 -24033.3458213
27 -24211.4915208
28 -24205.6630784
29 -24121.6832789
30 -24345.331155
31 -24492.2389559
32 -24387.7921059
33 -24349.043372
34 -24442.7441794
35 -24649.2391301
36 -24387.3874431
37 -24743.3565637
38 -24714.7149985
39 -24774.0180603
40 -24703.154944
41 -24731.8129607
42 -24841.6273244
43 -24791.3477288
44 -25034.070113
45 -25187.1538245
46 -25115.8810118
47 -24826.2237863
48 -25048.57244
49 -25235.9009981
2 -43222.655021
3 -42708.2310286
4 -42468.7164182
5 -42128.6447818
6 -42104.3492075
7 -41788.8228183
8 -41791.7893071
9 -41613.4887897
10 -41824.7332628
11 -41553.6911142
12 -41516.2041083
13 -41800.9140523
14 -41495.4186815
15 -41373.1581336
16 -41665.9015804
17 -41710.5505919
18 -41616.1791161
19 -41522.5632741
20 -41583.0950466
21 -41639.1586314
22 -41725.6781156
23 -41822.9508579
24 -41827.2857795
25 -41687.6552912
26 -41967.0573908
27 -41828.7569076
28 -42210.5548753
29 -42182.0119607
30 -42343.5694555
31 -42119.5182518
32 -42506.7239775
33 -42466.3083101
34 -42437.5444233
35 -42602.0212734
36 -42455.5621124
37 -42671.838333
38 -42699.8887682
39 -42712.072892
40 -42914.2031614
41 -42819.4963608
42 -42996.0425726
43 -43076.4295564
44 -43244.7467923
45 -43246.2663689
46 -43518.4537026
47 -43388.507978
48 -43515.3655546
49 -43648.7635357
('under the microscope', 18, -23784.244172757542, 15, 15)
2 -4931.61523217
3 -4865.05213323
4 -4850.14473318
5 -4785.828409
6 -4771.13025885
7 -4786.79122243
8 -4724.09430098
9 -4768.96785396
10 -4765.40603297
11 -4863.93544826
12 -4721.31119286
13 -4779.28448043
14 -4910.93281051
15 -4833.00008034
16 -4854.52002914
17 -4869.15266328
18 -4894.68848398
19 -4955.95756262
20 -4914.675606
21 -4985.05903262
22 -4941.14987974
23 -4974.60733001
24 -5012.01324446
25 -5038.62800529
26 -5045.31213483
27 -4988.81067457
28 -5017.12383746
29 -5095.00971521
30 -5110.15983719
31 -5072.36884145
32 -5125.17899166
33 -5141.67288815
34 -5140.32985705
35 -5186.20589503
36 -5182.77464908
37 -5183.80966194
38 -5263.32622656
39 -5171.09436439
40 -5248.45424799
41 -5198.71128769
42 -5203.56576351
43 -5278.63445477
44 -5215.54059218
45 -5322.37358653
46 -5273.98406155
47 -5307.11706063
48 -5286.94463576
49 -5343.8335529
2 -17860.5399372
3 -17551.7264181
4 -17428.2226965
5 -17297.3227493
6 -17083.7763071
7 -17145.5236693
8 -17075.0455578
9 -17099.7184568
10 -16968.8890987
11 -16961.0730127
12 -17106.9535944
13 -17008.6614919
14 -17023.18986
15 -17027.2063986
16 -17037.447839
17 -17123.391884
18 -17146.6878029
19 -17080.987886
20 -17012.9056775
21 -17067.0831975
22 -17041.6503117
23 -17234.9133593
24 -17123.0728193
25 -17365.4416921
26 -17178.2108506
27 -17155.7284123
28 -17370.8633515
29 -17422.4149183
30 -17418.3820733
31 -17460.8716637
32 -17428.3031252
33 -17583.2419692
34 -17647.6797451
35 -17663.6134314
36 -17644.0709717
37 -17720.6748932
38 -17644.9405834
39 -17757.5558966
40 -17775.9851528
41 -17812.5931592
42 -17923.7312697
43 -17935.0431598
44 -17980.6711956
45 -18021.2995684
46 -18057.7257662
47 -18037.7571706
48 -18071.1847119
49 -18226.6548071
('break a leg', 12, -4721.311192861566, 11, 11)

Process finished with exit code 0


/System/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/changsheng/PycharmProjects/IdiomUsage/FindingOptimalTopicVNC.py
2 -2670.47051607
3 -2650.6749843
4 -2592.03650381
5 -2606.67805844
6 -2634.44532425
7 -2554.21107846
8 -2626.05630664
9 -2588.34892294
10 -2628.18093848
11 -2635.17452135
12 -2582.70034456
13 -2639.19333093
14 -2657.68197704
15 -2679.17284702
16 -2600.58472129
17 -2709.02119704
18 -2714.84346199
19 -2745.35128626
2 -3498.54140343
3 -3474.77038131
4 -3419.83091286
5 -3469.68853253
6 -3449.12058361
7 -3465.27454936
8 -3515.50542527
9 -3463.15104048
10 -3475.64154035
11 -3566.10778783
12 -3586.90473748
13 -3555.79573993
14 -3562.05200463
15 -3588.3559625
16 -3654.19253906
